year,state,state_ansi,crop,acres_harvested,acres_planted,production_dollars,production_bu,yield_buperacre
2024,LOUISIANA,22,CORN,440000,470000,327228000,81400000,185
2024,MAINE,23,CORN,,30000,,,
2024,MARYLAND,24,CORN,380000,440000,255398000,54340000,143
2024,MASSACHUSETTS,25,CORN,,14000,,,
2024,MICHIGAN,26,CORN,1950000,2300000,1468272000,352950000,181
2024,MINNESOTA,27,CORN,7730000,8200000,5622184000,1345020000,174
2024,MISSISSIPPI,28,CORN,470000,490000,348806000,87420000,186
2024,MISSOURI,29,CORN,3350000,3500000,2568680000,613050000,183
2024,MONTANA,30,CORN,77000,130000,30172000,6545000,85
2024,NEBRASKA,31,CORN,9590000,10050000,7806644000,1802920000,188
2024,NEVADA,32,CORN,,20000,,,
2024,NEW HAMPSHIRE,33,CORN,,12000,,,
2024,NEW JERSEY,34,CORN,61000,72000,45108000,9577000,157
2024,NEW MEXICO,35,CORN,49000,105000,42312000,7693000,157
2024,NEW YORK,36,CORN,555000,1020000,384560000,93795000,169
2024,NORTH CAROLINA,37,CORN,810000,890000,357283000,70470000,87
2024,NORTH DAKOTA,38,CORN,3640000,3950000,2147746000,542360000,149
2024,OHIO,39,CORN,3200000,3400000,2424192000,566400000,177
2024,OKLAHOMA,40,CORN,410000,450000,192060000,40180000,98
2024,OREGON,41,CORN,63000,110000,79934000,13104000,208
2024,PENNSYLVANIA,42,CORN,700000,1050000,436632000,96600000,138
2024,RHODE ISLAND,44,CORN,,2000,,,
2024,SOUTH CAROLINA,45,CORN,305000,340000,141703000,30805000,101
2024,SOUTH DAKOTA,46,CORN,5390000,5900000,3535840000,883960000,164
2024,TENNESSEE,47,CORN,660000,700000,453446000,100320000,152
2024,TEXAS,48,CORN,1890000,2200000,1037232000,211680000,112
2024,UTAH,49,CORN,27000,80000,25025000,4509000,167
2024,VERMONT,50,CORN,,94000,,,
2024,VIRGINIA,51,CORN,290000,460000,155382000,33060000,114
2024,WASHINGTON,53,CORN,103000,205000,123930000,24205000,235
2024,WEST VIRGINIA,54,CORN,24000,41000,12276000,2640000,110
2024,WISCONSIN,55,CORN,2960000,3750000,2127115000,515040000,174
2024,WYOMING,56,CORN,65000,85000,54707000,10075000,155
2024,ALABAMA,1,SOYBEANS,350000,360000,110670000,10850000,31
2024,ARKANSAS,5,SOYBEANS,3020000,3050000,1661000000,166100000,55
2024,DELAWARE,10,SOYBEANS,153000,155000,67473000,6885000,45
2024,GEORGIA,13,SOYBEANS,158000,170000,77973000,7426000,47
2024,ILLINOIS,17,SOYBEANS,10750000,10800000,7017600000,688000000,64
2024,INDIANA,18,SOYBEANS,5780000,5800000,3546608000,341020000,59
2024,IOWA,19,SOYBEANS,9960000,10050000,5946120000,597600000,60
2024,KANSAS,20,SOYBEANS,4430000,4550000,1496233000,155050000,35
2024,KENTUCKY,21,SOYBEANS,2030000,2050000,1023120000,97440000,48
2024,LOUISIANA,22,SOYBEANS,1060000,1100000,562224000,55120000,52
2024,MARYLAND,24,SOYBEANS,485000,495000,209132000,21340000,44
2024,MICHIGAN,26,SOYBEANS,2210000,2230000,1137045000,108290000,49
2024,MINNESOTA,27,SOYBEANS,7320000,7400000,3244590000,329400000,45
2024,MISSISSIPPI,28,SOYBEANS,2270000,2300000,1283912000,127120000,56
2024,MISSOURI,29,SOYBEANS,5890000,5950000,2914961000,288610000,49
2024,NEBRASKA,31,SOYBEANS,5240000,5300000,2949727000,301300000,57.5
2024,NEW JERSEY,34,SOYBEANS,103000,105000,44290000,4429000,43
2024,NEW YORK,36,SOYBEANS,365000,370000,178704000,18615000,51
2024,NORTH CAROLINA,37,SOYBEANS,1600000,1630000,636480000,62400000,39
2024,NORTH DAKOTA,38,SOYBEANS,6550000,6600000,2340806000,245625000,37.5
2024,OHIO,39,SOYBEANS,5080000,5100000,2616200000,254000000,50
2024,OKLAHOMA,40,SOYBEANS,405000,510000,76545000,8100000,20
2024,PENNSYLVANIA,42,SOYBEANS,620000,630000,279000000,27900000,45
2024,SOUTH CAROLINA,45,SOYBEANS,380000,395000,139536000,12920000,34
2024,SOUTH DAKOTA,46,SOYBEANS,5380000,5450000,2237058000,231340000,43
2024,TENNESSEE,47,SOYBEANS,1800000,1820000,771120000,75600000,42
2024,TEXAS,48,SOYBEANS,74000,100000,22614000,2368000,32
2024,VIRGINIA,51,SOYBEANS,595000,610000,264418000,26180000,44
2024,WISCONSIN,55,SOYBEANS,2150000,2180000,1026840000,103200000,48
